record_id,classification,valid_structure,n_points,n_timestamps,invalid_timestamps,invalid_coordinates,negative_dt,zero_dt,positive_dt,same_time_different_position,consecutive_duplicate_position,long_gap_gt_30_source_seconds,edges_total,dt_computable,position_pairs_computable,time_span_raw,dt_min_raw,dt_max_raw,issues
5586,CURRENT_RUN_REAL_DATA,True,108,108,0,0,0,5,102,3,28,1,107,107,107,1190,0.0,60.0,
5587,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,0,99,99,99,1191,1.0,21.0,
5588,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1191,4.0,21.0,
5589,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,99,1,99,99,99,1191,9.0,31.0,
5590,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1188,7.0,29.0,
5591,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,97,0,97,97,97,1186,6.0,27.0,
5592,CURRENT_RUN_REAL_DATA,True,116,116,0,0,0,1,114,1,0,0,115,115,115,1196,0.0,30.0,
5593,CURRENT_RUN_REAL_DATA,True,98,98,0,0,0,0,97,0,1,0,97,97,97,1185,9.0,21.0,
5594,CURRENT_RUN_REAL_DATA,True,110,110,0,0,0,10,99,10,18,2,109,109,109,1186,0.0,91.0,
5595,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,10,89,10,2,2,99,99,99,1160,0.0,92.0,
5596,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,51,0,99,99,99,1191,4.0,21.0,
5597,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,30,0,99,99,99,1191,3.0,21.0,
5598,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,79,0,99,99,99,1187,7.0,20.0,
5599,CURRENT_RUN_REAL_DATA,True,99,99,0,0,0,0,98,0,98,0,98,98,98,1186,1.0,21.0,
5600,CURRENT_RUN_REAL_DATA,True,101,101,0,0,0,1,99,1,62,0,100,100,100,1190,0.0,30.0,
5601,CURRENT_RUN_REAL_DATA,True,96,96,0,0,0,0,95,0,21,1,95,95,95,1189,1.0,50.0,
5602,CURRENT_RUN_REAL_DATA,True,100,100,0,0,0,0,99,0,96,0,99,99,99,1191,3.0,20.0,
5603,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,3,99,3,7,1,102,102,102,1185,0.0,38.0,
5604,CURRENT_RUN_REAL_DATA,True,103,103,0,0,0,0,102,0,24,1,102,102,102,1186,1.0,36.0,
